TF.ID,Target.ID,TF.alias,Target.alias,Activate/Repress,Reference,Note
AT1G71930,AT5G56110,VND7,AT5G56110,A,18952777,
AT1G73730,AT1G16400,EIL3,CYP79F2,R,17114350,
AT1G73730,AT1G16410,EIL3,CYP79F1,R,17114350,
AT1G73730,AT1G78000,EIL3,SULTR1;2,A,17114350,
AT1G73730,AT2G22330,EIL3,CYP79B3,R,17114350,
AT1G73730,AT3G19710,EIL3,BCAT4,A,17114350,
AT1G73730,AT3G56040,EIL3,UGP3,R,19286968,
AT1G73730,AT4G31500,EIL3,CYP83B1,R,17114350,
AT1G73730,AT4G39950,EIL3,CYP79B2,A,17114350,
AT1G73730,AT5G43780,EIL3,APS4,A,17114350,
AT1G73730,AT5G60890,EIL3,MYB34,R,"17114350, 18042203",
AT1G74930,AT1G17420,ORA47,LOX3,A,20140232,
AT1G75080,AT2G43060,BZR1,IBH1,A,20009022,
AT1G75080,AT3G50660,BZR1,DWF4,R,"17080598, 16699538, 16407451, 17699623",
AT1G75080,AT4G38850,BZR1,SAUR15,A,17699623,
AT1G75080,AT5G05690,BZR1,CPD,R,"17277098, 11970900, 144101183",
AT1G75080,AT5G39860,BZR1,PRE1,A,20009022,
AT1G76420,AT1G62360,CUC3,BUM1,A,17122068,
AT1G76420,AT5G61850,CUC3,LFY,A,19095941,
AT1G77850,AT4G27260,ARF17,WES1,R,15829600,
AT1G77850,AT5G54510,ARF17,DFL1,R,15829600,
AT1G78600,AT1G56650,LZF1,MYB75,A,18182030,
AT1G79180,AT1G15950,MYB63,ATCCR1,A,19122102,
AT1G79180,AT1G51680,MYB63,4CL1,A,19122102,
AT1G79180,AT2G30490,MYB63,C4H,A,19122102,
AT1G79180,AT2G37040,MYB63,PAL1,A,19122102,
AT1G79180,AT2G38080,MYB63,IRX12,A,19122102,
AT1G79180,AT2G40890,MYB63,CYP98A3,A,19122102,
AT1G79180,AT4G34050,MYB63,CCoAOMT1,A,19122102,
AT1G79180,AT4G37970,MYB63,CAD6,A,19122102,
AT1G79180,AT5G48930,MYB63,HCT,A,19122102,
AT1G79180,AT5G54160,MYB63,ATOMT1,A,19122102,
