1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04444	yhbO	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04478	yhcO	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04508	fkpA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04559	ysgA	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04578	blc	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04601	yjfY	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04619	yjgH	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04661	iraD	+	W 
RDBECOLICNC00063	ppGpp		RDBECOLIGNC04700	ilvG	+	W 
RDBECOLIPDC00328	DicF	dicF	RDBECOLIGNC00341	ftsZ	-	S 
RDBECOLIPDC00328	DicF	dicF	RDBECOLIGNC00559	manX	-	S 
RDBECOLIPDC00328	DicF	dicF	RDBECOLIGNC00793	pykA	-	S 
RDBECOLIPDC00328	DicF	dicF	RDBECOLIGNC02444	xylR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00450	hns	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00502	rpoS	+	W 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00539	lrp	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00804	rbsA	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00805	rbsB	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00806	rbsC	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00807	rbsD	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00808	rbsK	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC00809	rbsR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLIGNC02853	rbsZ	-	S 
RDBECOLIPDC00425	DeaD	deaD	RDBECOLIGNC01227	ldtD	+	W 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC00559	manX	-	C 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC01622	hpf	+	W 
RDBECOLIPDC00501	Hfq	hfq	RDBECOLIGNC01623	ptsN	-	W 
RDBECOLIPDC00616	Pnp	pnp	RDBECOLIGNC00733	pnp	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00854	rplA	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00861	rplJ	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00862	rplK	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00863	rplL	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00884	rpoB	-	W 
RDBECOLIPDC00675	RplA	rplA	RDBECOLIGNC00885	rpoC	-	W 
RDBECOLIPDC00678	RplD	rplD	RDBECOLIGNC00993	tnaA	-	C 
RDBECOLIPDC00685	RplM	rplM	RDBECOLIGNC00864	rplM	-	S 
