"protein_1_locus","protein_1_name","protein_2_locus","protein_2_name"
"BSU_23460","SpoIIAB","BSU_23450","SigF"
"BSU_23470","SpoIIAA","BSU_23460","SpoIIAB"
"BSU_02640","TatCD","BSU_02630","TatAD"
"BSU_02630","TatAD","BSU_05990","TatCY"
"BSU_00870","RadA","BSU_00880","DisA"
"BSU_00640","SpoIIE","BSU_23460","SpoIIAB"
"BSU_04710","RsbV","BSU_23460","SpoIIAB"
"BSU_16460","CheD","BSU_16450","CheC"
"BSU_16460","CheD","BSU_31240","McpA"
"BSU_15290","FtsZ","BSU_21920","UgtP"
"BSU_41020","ThdF","BSU_41010","GidA"
"BSU_00850","McsB","BSU_00860","ClpC"
"BSU_31010","FloT","BSU_31010","FloT"
"BSU_15170","SpoVD","BSU_15210","SpoVE"
"BSU_27120","SigV","BSU_27130","RsiV"
"BSU_13180","MetE","BSU_21860","BrxA"
"BSU_13180","MetE","BSU_23990","BrxB"
"BSU_34990","Lgt","BSU_33070","GerAC"
"BSU_34990","Lgt","BSU_01550","GerD"
"BSU_13150","OhrR","BSU_21860","BrxA"
"BSU_13150","OhrR","BSU_23990","BrxB"
"BSU_40440","DnaC","BSU_28980","DnaI"
"BSU_28990","DnaB","BSU_28980","DnaI"
"BSU_28990","DnaB","BSU_22350","DnaD"
"BSU_31010","FloT","BSU_14490","KinC"
"BSU_00670","TilS","BSU_00680","HprT"
"BSU_00860","ClpC","BSU_00830","CtsR"
"BSU_00750","PabA","BSU_00740","PabB"
"BSU_22680","TrpE","BSU_00750","PabA"
"BSU_27080","LevR","BSU_27060","LevE"
"BSU_13700","ClpE","BSU_34540","ClpP"
"BSU_00860","ClpC","BSU_34540","ClpP"
"BSU_28220","ClpX","BSU_34540","ClpP"
"BSU_39270","BglP","BSU_39080","LicT"
"BSU_13900","PtsH","BSU_39080","LicT"
"BSU_12010","ManP","BSU_12000","ManR"
"BSU_29110","PhoP","BSU_29110","PhoP"
"BSU_29110","PhoP","BSU_29100","PhoR"
"BSU_38590","LicB","BSU_38570","LicA"
"BSU_38590","LicB","BSU_38580","LicC"
"BSU_38590","LicB","BSU_38600","LicR"
"BSU_27970","SpoIVFB","BSU_00230","BofA"
"BSU_05810","GmuB","BSU_05820","GmuA"
"BSU_05810","GmuB","BSU_05830","GmuC"
"BSU_27070","LevD","BSU_27060","LevE"
"BSU_33250","RsiO","BSU_33230","SigO"
"BSU_25490","HrcA","BSU_06030","GroEL"
"BSU_06020","GroES","BSU_06030","GroEL"
"BSU_16690","PnpA","BSU_16960","Rny"
"BSU_13400","LigD","BSU_13410","YkoV"
"BSU_36930","YwlE","BSU_00850","McsB"
"BSU_29120","Mdh","BSU_30560","PckA"
"BSU_00240","CsfB","BSU_15330","SigG"
"BSU_01750","CdaA","BSU_01760","CdaR"
"BSU_14150","YkuN","BSU_07630","Nos"
"BSU_40440","DnaC","BSU_25210","DnaG"
"BSU_28990","DnaB","BSU_40440","DnaC"
"BSU_25470","DnaK","BSU_36240","PtpZ"
"BSU_13890","PtsG","BSU_13880","GlcT"
"BSU_22320","PonA","BSU_22180","GpsB"
"BSU_13950","McpC","BSU_16460","CheD"
"BSU_33900","Eno","BSU_16960","Rny"
"BSU_25470","DnaK","BSU_36250","PtkA"
"BSU_19180","Des","BSU_14170","YkuP"
"BSU_14150","YkuN","BSU_19180","Des"
"BSU_37130","Spo0F","BSU_02820","RapJ"
"BSU_23040","Fer","BSU_19180","Des"
"BSU_00240","CsfB","BSU_15320","SigE"
"BSU_28070","ComC","BSU_24670","ComGG"
"BSU_28220","ClpX","BSU_11500","Spx"
"BSU_11500","Spx","BSU_34540","ClpP"
"BSU_33900","Eno","BSU_29190","PfkA"
"BSU_14530","RnjA","BSU_16690","PnpA"
"BSU_16560","RasP","BSU_27130","RsiV"
"BSU_33120","LiaH","BSU_33120","LiaH"
"BSU_28980","DnaI","BSU_25210","DnaG"
"BSU_22350","DnaD","BSU_25210","DnaG"
"BSU_28990","DnaB","BSU_25210","DnaG"
"BSU_40440","DnaC","BSU_22350","DnaD"
"BSU_28980","DnaI","BSU_22350","DnaD"
"BSU_24730","ComGA","BSU_27600","Rel"
"BSU_19430","CdaS","BSU_19430","CdaS"
"BSU_25380","FloA","BSU_25380","FloA"
"BSU_24620","TasA","BSU_24620","TasA"
"BSU_01010","NusG","BSU_37080","Rho"
"BSU_01260","RplN","BSU_25620","YqeL"
"BSU_29530","SppA","BSU_29530","SppA"
"BSU_34540","ClpP","BSU_34540","ClpP"
"BSU_00010","DnaA","BSU_22350","DnaD"
"BSU_30390","BceS","BSU_30370","BceB"
"BSU_16800","SpoIIIE","BSU_16800","SpoIIIE"
"BSU_11670","ThiO","BSU_11670","ThiO"
"BSU_24710","ComGC","BSU_24710","ComGC"
"BSU_09420","LytE","BSU_14470","MreBH"
"BSU_00020","DnaN","BSU_40900","SsbA"
"BSU_15390","SepF","BSU_15390","SepF"
"BSU_29230","DnaE","BSU_16580","PolC"
"BSU_28990","DnaB","BSU_15710","PriA"
"BSU_15940","Smc","BSU_23220","ScpA"
"BSU_40440","DnaC","BSU_00190","DnaX"
