tf_id	target_id	tf_name	target_name	activate/repress	pubmed	source	tf_uniprot_id	target_uniprot_id
AT1G32640	AT5G24780	MYC2	VSP1	A	19140948;19342430	atrm	Q39204	O49195
AT1G32640	AT5G25610	MYC2	RD22	A	12509522;18711121;12679534;9368419;15548743;15208388	atrm	Q39204	Q08298
AT1G32640	AT5G44420	MYC2	PDF1.2	R	17616737;17215350;19342430;18042205;21321051;18657213	atrm	Q39204	Q9FI23
AT1G32640	AT5G47220	MYC2	ERF2	R	17616737	atrm	Q39204	O80338
AT1G32770	AT1G16490	ANAC012	MYB58	A	19122102	atrm	Q9LPI7	Q9SA47
AT1G32770	AT1G17950	ANAC012	MYB52	A	18952777	atrm	Q9LPI7	Q6R0C4
AT1G32770	AT1G28470	ANAC012	ANAC010	A	18952777	atrm	Q9LPI7	F4HY61
AT1G32770	AT1G62990	ANAC012	KNAT7	A	18952777;17890373	atrm	Q9LPI7	Q9FPQ8
AT1G32770	AT1G66230	ANAC012	MYB20	A	18952777	atrm	Q9LPI7	Q9C7U7
AT1G32770	AT1G73410	ANAC012	MYB54	A	18952777	atrm	Q9LPI7	Q9FX36
AT1G32770	AT1G79180	ANAC012	MYB63	A	19122102	atrm	Q9LPI7	Q6R0A6
AT1G32770	AT4G28500	ANAC012	ANAC073	A	18952777	atrm	Q9LPI7	O49459
AT1G32770	AT5G12870	ANAC012	MYB46	A	18952777;17890373	atrm	Q9LPI7	Q9LXV2
AT1G32770	AT5G56110	ANAC012	AT5G56110	A	18952777	atrm	Q9LPI7	Q9XHV0
AT1G33240	AT1G04110	AT-GTL1	SDD1	R	21169508	atrm	Q9C882	O64495
AT1G34370	AT1G08430	STOP1	ALMT1	A	19704731;17535918;18752686;18826429	atrm	Q9C8N5	Q9SJE9
AT1G34370	AT3G22200	STOP1	POP2	A	19321711	atrm	Q9C8N5	Q94CE5
AT1G34370	AT5G07440	STOP1	GDH2	A	19321711	atrm	Q9C8N5	Q38946
AT1G34790	AT1G61720	TT1	BAN	A	14555692;12368498	atrm	Q8VWG3	Q9SEV0
AT1G35515	AT1G77120	HOS10	ADH1	R	15994234	atrm	Q9SDS8	P06525
AT1G35515	AT2G39030	HOS10	AT2G39030	A	15994234	atrm	Q9SDS8	Q9ZV05
AT1G35515	AT2G42540	HOS10	COR15A	R	15994234	atrm	Q9SDS8	Q42512
