Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf	source
lace	FBgn0002524	Dscam1	FBgn0033159	enhanceable	FBrf0241573	flybase
run	FBgn0003300	M(3)65F	FBgn0005562	enhanceable	FBrf0086390	flybase
phyl	FBgn0013725	tal	FBgn0087003	suppressible	FBrf0214307	flybase
trx	FBgn0003862	Gug	FBgn0010825	enhanceable	FBrf0180288	flybase
Mad	FBgn0011648	fuss	FBgn0039932	suppressible	FBrf0219160	flybase
dpp	FBgn0000490	sax	FBgn0003317	enhanceable	FBrf0209213	flybase
Ras85D	FBgn0003205	NFAT	FBgn0030505	suppressible	FBrf0131317	flybase
Psn	FBgn0284421	Mettl2	FBgn0035247	enhanceable	FBrf0141533	flybase
Nab2	FBgn0028471	Appl	FBgn0000108	suppressible	FBrf0246929	flybase
DCAF12	FBgn0037980	Diap1	FBgn0260635	suppressible	FBrf0232014	flybase
slo	FBgn0003429	dnc	FBgn0000479	suppressible	FBrf0212405	flybase
DENR	FBgn0030802	InR	FBgn0283499	suppressible	FBrf0226143	flybase
yki	FBgn0034970	Prp4k	FBgn0027587	enhanceable	FBrf0240957	flybase
Nf1	FBgn0015269	Alk	FBgn0040505	suppressible	FBrf0216258	flybase
CycB	FBgn0000405	thr	FBgn0003701	enhanceable	FBrf0183929	flybase
foxo	FBgn0038197	mor	FBgn0002783	suppressible	FBrf0256295	flybase
Tctp	FBgn0037874	tefu	FBgn0045035	enhanceable	FBrf0223709	flybase
CycE	FBgn0010382	S(CycE<up>JP</up>)2.6	FBgn0082632	suppressible	FBrf0180291	flybase
g	FBgn0001087	w	FBgn0003996	enhanceable	FBrf0147069	flybase
eIF4E1	FBgn0015218	cup	FBgn0000392	enhanceable	FBrf0229346	flybase
N	FBgn0004647	Delta	FBgn0000463	enhanceable	FBrf0160738	flybase
DCTN1-p150	FBgn0001108	EG7	FBgn0262067	enhanceable	FBrf0209456	flybase
rpr	FBgn0011706	Ack	FBgn0028484	suppressible	FBrf0218372	flybase
htl::tor	FBgn0014854	vap	FBgn0003969	suppressible	FBrf0179968	flybase
mir-305	FBgn0262458	Pi3K92E	FBgn0015279	suppressible	FBrf0226609	flybase
Fmr1	FBgn0028734	Nab2	FBgn0028471	suppressible	FBrf0236325	flybase
Raf	FBgn0003079	alph	FBgn0086361	suppressible	FBrf0131405	flybase
brm	FBgn0000212	Dab	FBgn0000414	suppressible	FBrf0241270	flybase
btd	FBgn0000233	Sp1	FBgn0020378	suppressible	FBrf0112032	flybase
if	FBgn0001250	puri	FBgn0025736	enhanceable	FBrf0104793	flybase
park	FBgn0041100	sima	FBgn0266411	suppressible	FBrf0230088	flybase
Smox	FBgn0025800	CG9008	FBgn0028540	suppressible	FBrf0235445	flybase
N	FBgn0004647	Rab6	FBgn0015797	enhanceable	FBrf0090844	flybase
Eph	FBgn0025936	Reph	FBgn0021800	enhanceable	FBrf0206244	flybase
Vap33	FBgn0029687	TBPH	FBgn0025790	suppressible	FBrf0226712	flybase
HDAC1	FBgn0015805	brm	FBgn0000212	suppressible	FBrf0180290	flybase
Snr1	FBgn0011715	brm	FBgn0000212	suppressible	FBrf0180290	flybase
sev	FBgn0003366	ebi	FBgn0263933	enhanceable	FBrf0108171	flybase
Sos	FBgn0001965	ebi	FBgn0263933	enhanceable	FBrf0108171	flybase
w	FBgn0003996	su(w<up>a</up>)	FBgn0003638	suppressible	FBrf0048200	flybase
ftz	FBgn0001077	E(ftz)1027	FBgn0082690	enhanceable	FBrf0180288	flybase
Eip75B	FBgn0000568	Rheb	FBgn0041191	suppressible	FBrf0230650	flybase
w	FBgn0003996	Wow	FBgn0014893	enhanceable	FBrf0074960	flybase
Delta	FBgn0000463	N	FBgn0004647	suppressible	FBrf0128542	flybase
Drp1	FBgn0026479	asrij	FBgn0034793	enhanceable	FBrf0249569	flybase
gfzf	FBgn0250732	GstO1	FBgn0035907	suppressible	FBrf0242834	flybase
cic	FBgn0262582	pnt	FBgn0003118	suppressible	FBrf0230522	flybase
if	FBgn0001250	Pgant3	FBgn0027558	enhanceable	FBrf0211018	flybase
spoon	FBgn0263987	larp	FBgn0261618	suppressible	FBrf0241857	flybase
sev	FBgn0003366	rin	FBgn0015778	suppressible	FBrf0127269	flybase
Fmr1	FBgn0028734	CRMP	FBgn0023023	suppressible	FBrf0249448	flybase
Cisd	FBgn0062442	Rab32	FBgn0002567	suppressible	FBrf0245745	flybase
brm	FBgn0000212	vn	FBgn0003984	enhanceable	FBrf0187627	flybase
N	FBgn0004647	fru	FBgn0004652	suppressible	FBrf0220483	flybase
w	FBgn0003996	Kr-h1	FBgn0266450	suppressible	FBrf0128132	flybase
Dcp-1	FBgn0010501	Ubc4	FBgn0015321	enhanceable	FBrf0209948	flybase
Pink1	FBgn0029891	gfzf	FBgn0250732	suppressible	FBrf0242834	flybase
mtm	FBgn0025742	ft	FBgn0001075	enhanceable	FBrf0255186	flybase
Btk	FBgn0003502	Src42A	FBgn0264959	enhanceable	FBrf0187454	flybase
sev	FBgn0003366	osa	FBgn0261885	suppressible	FBrf0105879	flybase
