Starting_gene_symbol	Starting_gene_FBgn	Interacting_gene_symbol	Interacting_gene_FBgn	Interaction_type	Publication_FBrf
run	FBgn0003300	M(3)65F	FBgn0005562	enhanceable	FBrf0086390
phyl	FBgn0013725	tal	FBgn0087003	suppressible	FBrf0214307
trx	FBgn0003862	Gug	FBgn0010825	enhanceable	FBrf0180288
Mad	FBgn0011648	fuss	FBgn0039932	suppressible	FBrf0219160
dpp	FBgn0000490	sax	FBgn0003317	enhanceable	FBrf0209213
Ras85D	FBgn0003205	NFAT	FBgn0030505	suppressible	FBrf0131317
Psn	FBgn0284421	Mettl2	FBgn0035247	enhanceable	FBrf0141533
Nab2	FBgn0028471	Appl	FBgn0000108	suppressible	FBrf0246929
DCAF12	FBgn0037980	Diap1	FBgn0260635	suppressible	FBrf0232014
slo	FBgn0003429	dnc	FBgn0000479	suppressible	FBrf0212405
DENR	FBgn0030802	InR	FBgn0283499	suppressible	FBrf0226143
yki	FBgn0034970	Prp4k	FBgn0027587	enhanceable	FBrf0240957
Nf1	FBgn0015269	Alk	FBgn0040505	suppressible	FBrf0216258
CycB	FBgn0000405	thr	FBgn0003701	enhanceable	FBrf0183929
foxo	FBgn0038197	mor	FBgn0002783	suppressible	FBrf0256295
Tctp	FBgn0037874	tefu	FBgn0045035	enhanceable	FBrf0223709
CycE	FBgn0010382	S(CycE<up>JP</up>)2.6	FBgn0082632	suppressible	FBrf0180291
g	FBgn0001087	w	FBgn0003996	enhanceable	FBrf0147069
eIF4E1	FBgn0015218	cup	FBgn0000392	enhanceable	FBrf0229346
N	FBgn0004647	Delta	FBgn0000463	enhanceable	FBrf0160738
DCTN1-p150	FBgn0001108	EG7	FBgn0262067	enhanceable	FBrf0209456
rpr	FBgn0011706	Ack	FBgn0028484	suppressible	FBrf0218372
htl::tor	FBgn0014854	vap	FBgn0003969	suppressible	FBrf0179968
mir-305	FBgn0262458	Pi3K92E	FBgn0015279	suppressible	FBrf0226609
Fmr1	FBgn0028734	Nab2	FBgn0028471	suppressible	FBrf0236325
Raf	FBgn0003079	alph	FBgn0086361	suppressible	FBrf0131405
brm	FBgn0000212	Dab	FBgn0000414	suppressible	FBrf0241270
btd	FBgn0000233	Sp1	FBgn0020378	suppressible	FBrf0112032
if	FBgn0001250	puri	FBgn0025736	enhanceable	FBrf0104793
park	FBgn0041100	sima	FBgn0266411	suppressible	FBrf0230088
Smox	FBgn0025800	CG9008	FBgn0028540	suppressible	FBrf0235445
N	FBgn0004647	Rab6	FBgn0015797	enhanceable	FBrf0090844
Eph	FBgn0025936	Reph	FBgn0021800	enhanceable	FBrf0206244
Vap33	FBgn0029687	TBPH	FBgn0025790	suppressible	FBrf0226712
HDAC1|Snr1	FBgn0015805|FBgn0011715	brm	FBgn0000212	suppressible	FBrf0180290
