"id1","id2","name1","name2","geneName1","geneName2","altName1","altName2","altId1","altId2","source","sourceLink","intType","species"
"BSU_00310","BSU_25210","HolB","DnaG","BSU_00310","dnaG","HolB","DnaG","BSU_00310","BSU_25210","subtiwiki","224308.BSU00310/224308.BSU25210","physical","txid224308"
"BSU_00310","BSU_00040","HolB","RecF","BSU_00310","recF","HolB","RecF","BSU_00310","BSU_00040","subtiwiki","224308.BSU00310/224308.BSU00040","physical","txid224308"
"BSU_00310","BSU_00860","HolB","ClpC","BSU_00310","clpC","HolB","ClpC","BSU_00310","BSU_00860","subtiwiki","224308.BSU00310/224308.BSU00860","physical","txid224308"
"BSU_16580","BSU_28990","PolC","DnaB","BSU_16580","BSU_28990","PolC","DnaB","BSU_16580","BSU_28990","subtiwiki","224308.BSU28990/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_20340","PolC","YorL","BSU_16580","BSU_20340","PolC","YorL","BSU_16580","BSU_20340","string-db","224308.BSU20340/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_29090","PolC","PolA","BSU_16580","polA","PolC","PolA","BSU_16580","BSU_29090","string-db","224308.BSU29090/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_40440","PolC","DnaC","BSU_16580","BSU_40440","PolC","DnaC","BSU_16580","BSU_40440","subtiwiki","224308.BSU40440/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_29230","PolC","DnaE","BSU_16580","dnaE","PolC","DnaE","BSU_16580","BSU_29230","subtiwiki","224308.BSU29230/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_22350","PolC","DnaD","BSU_16580","BSU_22350","PolC","DnaD","BSU_16580","BSU_22350","subtiwiki","224308.BSU22350/224308.BSU16580","physical","txid224308"
"BSU_16580","BSU_25560","PolC","HolA","BSU_16580","BSU_25560","PolC","HolA","BSU_16580","BSU_25560","subtiwiki","224308.BSU25560/224308.BSU16580","physical","txid224308"
"BSU_29230","BSU_29980","DnaE","YtjP","dnaE","BSU_29980","DnaE","YtjP","BSU_29230","BSU_29980","string-db","224308.BSU29980/224308.BSU29230","physical","txid224308"
"BSU_29230","BSU_37450","DnaE","YwhK","dnaE","BSU_37450","DnaE","YwhK","BSU_29230","BSU_37450","string-db","224308.BSU37450/224308.BSU29230","physical","txid224308"
"BSU_29230","BSU_40900","DnaE","SsbA","dnaE","ssbA","DnaE","SsbA","BSU_29230","BSU_40900","subtiwiki","224308.BSU29230/224308.BSU40900","physical","txid224308"
"BSU_29230","BSU_25210","DnaE","DnaG","dnaE","dnaG","DnaE","DnaG","BSU_29230","BSU_25210","subtiwiki","224308.BSU29230/224308.BSU25210","physical","txid224308"
"BSU_29230","BSU_28980","DnaE","DnaI","dnaE","BSU_28980","DnaE","DnaI","BSU_29230","BSU_28980","subtiwiki","224308.BSU29230/224308.BSU28980","physical","txid224308"
"BSU_29230","BSU_22350","DnaE","DnaD","dnaE","BSU_22350","DnaE","DnaD","BSU_29230","BSU_22350","subtiwiki","224308.BSU29230/224308.BSU22350","physical","txid224308"
"BSU_29230","BSU_00040","DnaE","RecF","dnaE","recF","DnaE","RecF","BSU_29230","BSU_00040","subtiwiki","224308.BSU29230/224308.BSU00040","physical","txid224308"
"BSU_29230","BSU_15710","DnaE","PriA","dnaE","BSU_15710","DnaE","PriA","BSU_29230","BSU_15710","subtiwiki","224308.BSU29230/224308.BSU15710","physical","txid224308"
"BSU_29230","BSU_16940","DnaE","RecA","dnaE","recA","DnaE","RecA","BSU_29230","BSU_16940","subtiwiki","224308.BSU29230/224308.BSU16940","physical","txid224308"
"BSU_29230","BSU_25280","DnaE","RecO","dnaE","recO","DnaE","RecO","BSU_29230","BSU_25280","subtiwiki","224308.BSU29230/224308.BSU25280","physical","txid224308"
"BSU_29230","BSU_00210","DnaE","RecR","dnaE","BSU_00210","DnaE","RecR","BSU_29230","BSU_00210","subtiwiki","224308.BSU29230/224308.BSU00210","physical","txid224308"
"BSU_29230","BSU_17050","DnaE","MutL","dnaE","BSU_17050","DnaE","MutL","BSU_29230","BSU_17050","subtiwiki","224308.BSU29230/224308.BSU17050","physical","txid224308"
"BSU_29230","BSU_17040","DnaE","MutS","dnaE","BSU_17040","DnaE","MutS","BSU_29230","BSU_17040","subtiwiki","224308.BSU29230/224308.BSU17040","physical","txid224308"
"BSU_29230","BSU_29180","DnaE","Pyk","dnaE","BSU_29180","DnaE","Pyk","BSU_29230","BSU_29180","subtiwiki","224308.BSU29230/224308.BSU29180","physical","txid224308"
"BSU_00190","BSU_25560","DnaX","HolA","BSU_00190","BSU_25560","DnaX","HolA","BSU_00190","BSU_25560","subtiwiki","224308.BSU00190/224308.BSU25560","physical","txid224308"
"BSU_00190","BSU_00310","DnaX","HolB","BSU_00190","BSU_00310","DnaX","HolB","BSU_00190","BSU_00310","subtiwiki","224308.BSU00190/224308.BSU00310","physical","txid224308"
