protein_1_locus	protein_2_locus	evidence	source	protein_1_alt_name	protein_1_name	protein_2_alt_name	protein_2_name	link
BSU_00640	BSU_25330	experimental	string-db	SpoIIE	SpoIIE	YqfF	YqfF	224308.BSU00640/224308.BSU25330
BSU_00640	BSU_03480	experimental	string-db	SpoIIE	SpoIIE	SrfAA	SrfAA	224308.BSU00640/224308.BSU03480
BSU_00640	BSU_16940	experimental	string-db	SpoIIE	SpoIIE	RecA	RecA	224308.BSU00640/224308.BSU16940
BSU_00640	BSU_12790	experimental	string-db	SpoIIE	SpoIIE	XhlA	XhlA	224308.BSU00640/224308.BSU12790
BSU_00640	BSU_23590	experimental	string-db	SpoIIE	SpoIIE	AnsR	AnsR	224308.BSU00640/224308.BSU23590
BSU_00640	BSU_28050	textmined	string-db	SpoIIE	SpoIIE	Maf	Maf	224308.BSU00640/224308.BSU28050
BSU_00640	BSU_09920	experimental	string-db	SpoIIE	SpoIIE	SbcE	SbcE	224308.BSU00640/224308.BSU09920
BSU_00640	BSU_26150	experimental	string-db	SpoIIE	SpoIIE	YqbD	YqbD	224308.BSU00640/224308.BSU26150
BSU_00640	BSU_00660	experimental	string-db	SpoIIE	SpoIIE	YabT	YabT	224308.BSU00640/224308.BSU00660
BSU_00640	BSU_14400	experimental	string-db	SpoIIE	SpoIIE	FruA	FruA	224308.BSU00640/224308.BSU14400
BSU_00650	BSU_06710	experimental	string-db	YabS	YabS	SwrC	SwrC	224308.BSU00650/224308.BSU06710
BSU_00660	BSU_09920	experimental	string-db	YabT	YabT	SbcE	SbcE	224308.BSU00660/224308.BSU09920
BSU_00660	BSU_11400	experimental	string-db	YabT	YabT	AppC	AppC	224308.BSU00660/224308.BSU11400
BSU_00660	BSU_33500	experimental	string-db	YabT	YabT	CopA	CopA	224308.BSU00660/224308.BSU33500
BSU_00660	BSU_26030	experimental	string-db	YabT	YabT	YqbO	YqbO	224308.BSU00660/224308.BSU26030
BSU_00660	BSU_07800	experimental	string-db	YabT	YabT	TreP	TreP	224308.BSU00660/224308.BSU07800
BSU_00660	BSU_15770	experimental	string-db	YabT	YabT	PrkC	PrkC	224308.BSU00660/224308.BSU15770
BSU_00660	BSU_31600	experimental	string-db	YabT	YabT	MrpA	MrpA	224308.BSU00660/224308.BSU31600
BSU_00660	BSU_16210	experimental	string-db	YabT	YabT	FliF	FliF	224308.BSU00660/224308.BSU16210
BSU_00660	BSU_02030	experimental	string-db	YabT	YabT	PrkD	YbdM	224308.BSU00660/224308.BSU02030
BSU_00660	BSU_26150	experimental	string-db	YabT	YabT	YqbD	YqbD	224308.BSU00660/224308.BSU26150
BSU_00660	BSU_14850	experimental	string-db	YabT	YabT	FtsW	FtsW	224308.BSU00660/224308.BSU14850
BSU_00660	BSU_10160	experimental	string-db	YabT	YabT	YhgE	YhgE	224308.BSU00660/224308.BSU10160
